,barcode,category,categoryCode,name,topBrand,brand_id,cpg_oid,cpg_ref,brandCode
865,511111114062,Health & Wellness,HEALTHY_AND_WELLNESS,MIRALAX®LAXATIVES,False,5e5ff32bee7f2d0b35b2a190,5d9b4f591dda2c6225a284aa,Cogs,MIRALAX LAXATIVES
866,511111318248,Baking,BAKING,test brand @1607708191128,False,5fd3ae1fbe37ce0d9386bb56,5fd3ae1fbe37ce0d9386bb54,Cogs,TEST BRANDCODE @1607708191128
867,511111818250,Baking,BAKING,test brand @1607708191160,False,5fd3ae1fbe37ce0d9386bb57,5fd3ae1fbe37ce0d9386bb54,Cogs,TEST BRANDCODE @1607708191160
868,511111018261,Baking,BAKING,test brand @1607708191197,False,5fd3ae1fbe37ce0d9386bb58,5fd3ae1fbe37ce0d9386bb54,Cogs,TEST BRANDCODE @1607708191197
869,511111518273,Candy & Sweets,CANDY_AND_SWEETS,test brand @1607708191721,False,5fd3ae1fbe37ce0d9386bb59,5332fa12e4b03c9a25efd1e7,Cogs,TEST BRANDCODE @1607708191721
870,511111718284,Baking,BAKING,test brand @1607708192160,False,5fd3ae20be37ce0d9386bb5b,5fd3ae20be37ce0d9386bb5a,Cogs,
871,511111519591,Baking,BAKING,test brand @1610562208718,False,5fff3aa0be37ce2bb793011a,5fff3aa0be37ce2bb7930116,Cogs,TEST BRANDCODE @1610562208718
872,511111619611,Baking,BAKING,test brand @1610653894219,False,6000a0c6be37ce2bb793011d,6000a0c6be37ce2bb793011c,Cogs,TEST BRANDCODE @1610653894219
873,511111319566,Baking,BAKING,test brand @1610562208600,False,5fff3aa0be37ce2bb7930117,5fff3aa0be37ce2bb7930116,Cogs,TEST BRANDCODE @1610562208600
874,511111819578,Baking,BAKING,test brand @1610562208645,False,5fff3aa0be37ce2bb7930118,5fff3aa0be37ce2bb7930116,Cogs,TEST BRANDCODE @1610562208645
875,511111119609,Candy & Sweets,CANDY_AND_SWEETS,test brand @1610562209325,False,5fff3aa1be37ce2bb793011b,5332fa12e4b03c9a25efd1e7,Cogs,TEST BRANDCODE @1610562209325
876,511111019589,Baking,BAKING,test brand @1610562208680,False,5fff3aa0be37ce2bb7930119,5fff3aa0be37ce2bb7930116,Cogs,TEST BRANDCODE @1610562208680
877,511111019701,Baking,BAKING,test brand @1610660035827,False,6000b8c3be37ce321363c6c3,6000b8c3be37ce321363c6bf,Cogs,TEST BRANDCODE @1610660035827
878,511111419693,Baking,BAKING,test brand @1610660035788,False,6000b8c3be37ce321363c6c2,6000b8c3be37ce321363c6bf,Cogs,TEST BRANDCODE @1610660035788
879,511111519713,Candy & Sweets,CANDY_AND_SWEETS,test brand @1610660036398,False,6000b8c4be37ce321363c6c4,5332fa12e4b03c9a25efd1e7,Cogs,TEST BRANDCODE @1610660036398
880,511111219736,Baking,BAKING,test brand @1610718082493,False,60019b82be37ce4f17e558d2,60019b82be37ce4f17e558d1,Cogs,TEST BRANDCODE @1610718082494
881,511111801474,Beverages,,Tropicana Trop 50,False,585a973ee4b03e62d1ce0e97,5332f5fbe4b03c9a25efd0ba,Cogs,
882,511111702733,,,Valu Time,,552ecc9be4b02ff29f99b214,5459429be4b0bfcb1e864082,Cpgs,
883,511111201847,Frozen,,TGI Fridays,False,580dffa7e4b0f32b2de21383,559c2234e4b06aca36af13c6,Cogs,T.G.I. FRIDAY'S
884,511111600350,Beer Wine Spirits,,Cusquena,,5a5d1d71e4b06ba572cf249c,5332f709e4b03c9a25efd0f1,Cogs,CUSQUENA
885,511111517399,Bread & Bakery,BREAD_AND_BAKERY,Arnold ,False,5fb6b6e1be37ce522e165cbb,5fb6b608be37ce522e165cb9,Cogs,ARNOLD
886,511111001997,Beverages,,McCafé,False,57ebc188e4b0ac389136a343,559c2234e4b06aca36af13c6,Cogs,MC CAFE
887,511111404514,Snacks,,O-Ke-Doke,False,5afda307e4b03bf01c2a2966,5a734034e4b0d58f376be874,Cogs,O-KE-DOKE
888,511111517955,Baking,BAKING,test brand @1607312532260,False,5fcda494be37ce688e08b0ce,5fcda494be37ce688e08b0cb,Cogs,TEST BRANDCODE @1607312532260
889,511111505648,Health & Wellness,,ALKA SELTZER® ADULT HEARTBURN CHEWS/ GUMMY/ TAB,,5da606c61dda2c3e1416ae87,53e10d6368abd3c7065097cc,Cogs,ALKA SELTZER ADULT HEARTBURN CHEWS/ GUMMY/ TAB
890,511111615149,Baking,BAKING,test brand @1595531348450,,5f19e054be37ce33f74a1672,5f19e054be37ce33f74a166e,Cogs,TEST BRANDCODE @1595531348450
891,511111816058,Baking,BAKING,test brand @1598635435926,,5f493dabbe37ce64d0ae36be,5f493dabbe37ce64d0ae36ba,Cogs,TEST BRANDCODE @1598635435926
892,511111018056,Baking,BAKING,test brand @1607636368135,False,5fd29590be37ce38bbbefb26,5fd29590be37ce38bbbefb25,Cogs,TEST BRANDCODE @1607636368136
893,511111416012,Baking,BAKING,test brand @1598635397611,,5f493d85be37ce64d0ae36b2,5f493d85be37ce64d0ae36b1,Cogs,
894,511111201281,Breakfast & Cereal,,Quaker Oatmeal Squares,False,58861c7f4e8d0d20bc42c4fb,5332f5fbe4b03c9a25efd0ba,Cogs,
895,511111806387,Breakfast & Cereal,,Oatmeal Crisp™ Cereal,,5dd59806a60b870fc613f7ca,5332f5f3e4b03c9a25efd0ae,Cogs,OATMEAL CRISP
896,511111101383,Beer Wine Spirits,,Milwaukee's Best Light,,58861c7e4e8d0d20bc42c4e4,5332f709e4b03c9a25efd0f1,Cogs,
897,511111818533,Baking,BAKING,test brand @1609794602668,False,5ff3842abe37ce2c56dacbac,5ff3842abe37ce2c56dacbab,Cogs,
898,511111518556,Baking,BAKING,test brand @1609794603283,False,5ff3842bbe37ce2c56dacbaf,5ff3842bbe37ce2c56dacbad,Cogs,TEST BRANDCODE @1609794603283
899,511111614630,Health & Wellness,HEALTHY_AND_WELLNESS,Phillips'®Digestive,False,5ec2dd58be37ce5234ec36b9,5d9b4f591dda2c6225a284aa,Cogs,PHILLIPS'®DIGESTIVE
900,511111919681,Baking,BAKING,test brand @1610660035741,False,6000b8c3be37ce321363c6c1,6000b8c3be37ce321363c6bf,Cogs,TEST BRANDCODE @1610660035741
901,511111719724,Baking,BAKING,test brand @1610660036852,False,6000b8c4be37ce321363c6c6,6000b8c4be37ce321363c6c5,Cogs,
902,511111018544,Baking,BAKING,test brand @1609794603236,False,5ff3842bbe37ce2c56dacbae,5ff3842bbe37ce2c56dacbad,Cogs,TEST BRANDCODE @1609794603237
